episode,timestep,reward
3,2000,1.7251
8,4000,0.4899
15,6000,1.4069
17,8000,1.4365
30,10000,1.6613
40,12000,1.3273
46,14000,1.5348
52,16000,1.0533
58,18000,1.0345
61,20000,1.5224
71,22000,1.5151
78,24000,1.0006
86,26000,1.2135
97,28000,1.0735
104,30000,1.1636
108,32000,1.0604
115,34000,1.2073
120,36000,1.2583
129,38000,1.4016
143,40000,1.8535
158,42000,1.5322
168,44000,1.1505
176,46000,1.0036
182,48000,1.3792
194,50000,0.9576
206,52000,1.4978
218,54000,1.1833
237,56000,1.3283
249,58000,1.4099
261,60000,1.7725
274,62000,1.7858
288,64000,1.5128
304,66000,1.2359
320,68000,1.3938
337,70000,1.3465
352,72000,1.3457
368,74000,1.3923
382,76000,1.2961
397,78000,1.1733
416,80000,1.4143
435,82000,1.5596
450,84000,1.367
469,86000,1.3203
