episode,timestep,reward
4,2000,1.5
8,4000,0.5
17,6000,1.5556
22,8000,1.6
30,10000,1.5
40,12000,1.2
48,14000,1.5
52,16000,1.0
58,18000,0.6667
63,20000,1.2
68,22000,1.6
72,24000,1.5
79,26000,1.4286
86,28000,1.1429
94,30000,1.25
102,32000,1.75
107,34000,1.2
116,36000,1.5556
120,38000,0.5
127,40000,1.1429
132,42000,1.6
144,44000,1.6667
151,46000,1.1429
163,48000,1.6667
172,50000,1.7778
180,52000,0.75
185,54000,1.2
195,56000,0.6
204,58000,1.3333
213,60000,1.7778
226,62000,1.0769
238,64000,1.3333
246,66000,0.75
253,68000,1.4286
266,70000,1.2308
274,72000,1.25
292,74000,1.1111
302,76000,1.2
311,78000,1.3333
315,80000,1.0
328,82000,1.2308
342,84000,1.4286
353,86000,1.6364
368,88000,1.0667
377,90000,1.3333
393,92000,1.25
409,94000,1.125
418,96000,1.1111
426,98000,1.0
438,100000,1.3333
454,102000,1.5
465,104000,1.0909
478,106000,1.2308
493,108000,1.2
507,110000,1.5714
519,112000,1.6667
538,114000,1.0526
555,116000,1.5294
577,118000,1.4545
594,120000,1.7647
613,122000,1.2632
630,124000,1.1765
648,126000,1.4444
665,128000,1.1765
689,130000,1.3333
705,132000,1.5
722,134000,1.4118
740,136000,1.4444
755,138000,1.4667
774,140000,1.4737
792,142000,1.5556
816,144000,1.25
838,146000,0.9091
851,148000,1.3846
863,150000,1.0
885,152000,1.0909
900,154000,1.2
915,156000,1.3333
928,158000,1.0769
943,160000,1.0667
954,162000,0.9091
970,164000,1.25
998,166000,1.3571
1013,168000,1.2
1031,170000,1.3333
1043,172000,1.0
1058,174000,1.2
1082,176000,1.5
