episode,timestep,reward
2,2000,1.0852
5,4000,0.3848
8,6000,0.8973
11,8000,0.7625
14,10000,0.5938
16,12000,0.0
23,14000,1.9965
25,16000,0.9943
32,18000,1.7138
36,20000,1.1109
39,22000,1.2223
44,24000,1.8638
48,26000,0.7538
51,28000,1.1047
58,30000,1.8474
67,32000,2.3336
73,34000,1.7611
82,36000,2.2934
88,38000,1.8592
98,40000,2.2638
107,42000,2.2172
113,44000,1.8615
124,46000,2.3707
139,48000,2.4785
151,50000,2.4407
158,52000,1.982
172,54000,2.5025
181,56000,2.216
189,58000,2.1708
199,60000,2.3419
215,62000,2.5074
231,64000,2.5616
248,66000,2.5754
264,68000,2.5627
284,70000,2.6511
302,72000,2.617
318,74000,2.5729
333,76000,2.5041
351,78000,2.5965
364,80000,2.5608
381,82000,2.5151
396,84000,2.5308
420,86000,2.7094
439,88000,2.6285
464,90000,2.7404
481,92000,2.5574
504,94000,2.6974
526,96000,2.6714
554,98000,2.7533
579,100000,2.713
613,102000,2.8045
637,104000,2.7015
671,106000,2.7875
704,108000,2.7848
742,110000,2.8154
776,112000,2.7918
809,114000,2.7867
848,116000,2.8217
887,118000,2.8234
928,120000,2.8293
972,122000,2.8364
1013,124000,2.8288
1061,126000,2.8603
1118,128000,2.8713
1164,130000,2.8488
1220,132000,2.875
1273,134000,2.8633
1328,136000,2.8722
1389,138000,2.8845
1444,140000,2.8723
1508,142000,2.8904
1578,144000,2.9
1645,146000,2.8958
1712,148000,2.8946
1788,150000,2.908
1863,152000,2.9046
1940,154000,2.9091
2008,156000,2.8962
2079,158000,2.9039
2153,160000,2.9032
2236,162000,2.9147
2308,164000,2.9025
2396,166000,2.9203
2474,168000,2.9097
2571,170000,2.9274
2663,172000,2.9239
2756,174000,2.9238
2850,176000,2.9255
2949,178000,2.9289
3049,180000,2.9297
3153,182000,2.9325
3253,184000,2.9295
3373,186000,2.9414
3475,188000,2.9333
3588,190000,2.9357
3698,192000,2.936
3811,194000,2.938
3934,196000,2.9431
4055,198000,2.9416
4172,200000,2.9397
4288,202000,2.9395
4404,204000,2.9438
4538,206000,2.9439
4668,208000,2.9457
4789,210000,2.9419
4918,212000,2.9457
5042,214000,2.9439
5178,216000,2.9477
5295,218000,2.9399
5431,220000,2.9485
5554,222000,2.9426
